Country,Year,Bank account,Location Type,Access to cellphone,Household size,Age of respondent,Gender of respondent,Relation with head of the house,Marital status,Education level,Job type
Rwanda,2016,No,Rural,No,7,16,Female,Parent,Single/Never Married,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,3,63,Female,Head of Household,Widowed,Vocational/Specialised training,Farming and Fishing
Rwanda,2016,No,Rural,Yes,5,16,Female,Child,Single/Never Married,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,8,16,Female,Child,Single/Never Married,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,2,21,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,Yes,Urban,Yes,3,28,Male,Head of Household,Married/Living together,Tertiary education,Informally employed
Rwanda,2016,No,Rural,No,6,36,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,5,22,Male,Child,Single/Never Married,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,6,41,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Rwanda,2016,No,Rural,Yes,3,46,Female,Head of Household,Single/Never Married,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,5,49,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,6,37,Female,Child,Single/Never Married,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,3,22,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,4,50,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,2,18,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Rwanda,2016,No,Rural,No,9,51,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,Yes,Urban,Yes,5,26,Male,Child,Single/Never Married,Tertiary education,Other Income
Rwanda,2016,No,Rural,Yes,8,18,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Rwanda,2016,No,Rural,Yes,4,48,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,No,6,36,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,4,22,Female,Child,Single/Never Married,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,5,30,Female,Child,Single/Never Married,No formal education,Informally employed
Rwanda,2016,No,Rural,No,1,72,Female,Head of Household,Widowed,No formal education,Government Dependent
Rwanda,2016,No,Rural,No,2,39,Male,Head of Household,Widowed,Primary education,Informally employed
Rwanda,2016,No,Rural,No,7,39,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,4,29,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
Rwanda,2016,Yes,Rural,Yes,5,36,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,3,32,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,2,34,Male,Head of Household,Married/Living together,No formal education,Informally employed
Rwanda,2016,No,Rural,Yes,6,72,Male,Spouse,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,5,17,Male,Parent,Single/Never Married,Secondary education,Farming and Fishing
Rwanda,2016,No,Rural,No,1,49,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,5,32,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,4,26,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Urban,Yes,6,25,Female,Child,Single/Never Married,Tertiary education,Informally employed
Rwanda,2016,No,Rural,Yes,6,45,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,4,39,Female,Parent,Divorced/Seperated,Secondary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,6,45,Male,Head of Household,Married/Living together,Primary education,Government Dependent
Rwanda,2016,No,Rural,Yes,6,51,Female,Head of Household,Widowed,No formal education,Informally employed
Rwanda,2016,No,Rural,No,1,81,Female,Head of Household,Widowed,No formal education,Remittance Dependent
Rwanda,2016,Yes,Rural,Yes,5,69,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,4,28,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,5,46,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,No,5,24,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,7,35,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Rwanda,2016,No,Rural,Yes,4,37,Male,Head of Household,Married/Living together,No formal education,Informally employed
Rwanda,2016,No,Rural,Yes,4,20,Female,Child,Single/Never Married,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,4,28,Female,Spouse,Married/Living together,Secondary education,Self employed
Rwanda,2016,No,Rural,No,6,50,Male,Head of Household,Married/Living together,No formal education,Self employed
Rwanda,2016,No,Urban,Yes,6,17,Female,Child,Single/Never Married,Vocational/Specialised training,Farming and Fishing
Rwanda,2016,No,Rural,No,5,34,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,3,67,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,4,55,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,5,49,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,3,23,Male,Head of Household,Married/Living together,Primary education,Self employed
Rwanda,2016,No,Rural,Yes,5,21,Female,Child,Single/Never Married,Secondary education,Farming and Fishing
Rwanda,2016,No,Rural,No,1,69,Female,Head of Household,Married/Living together,No formal education,Government Dependent
Rwanda,2016,No,Rural,Yes,7,34,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,No,3,53,Female,Head of Household,Divorced/Seperated,No formal education,Farming and Fishing
Rwanda,2016,No,Urban,Yes,5,28,Male,Head of Household,Married/Living together,No formal education,Self employed
Rwanda,2016,No,Rural,Yes,7,43,Female,Head of Household,Divorced/Seperated,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,No,4,29,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,7,37,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,6,31,Female,Child,Divorced/Seperated,No formal education,Informally employed
Rwanda,2016,Yes,Rural,Yes,7,47,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,3,24,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Urban,Yes,4,20,Female,Other relative,Single/Never Married,Primary education,Remittance Dependent
Rwanda,2016,No,Rural,No,4,28,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,5,40,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,3,23,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,3,52,Male,Head of Household,Married/Living together,No formal education,Informally employed
Rwanda,2016,Yes,Rural,Yes,7,46,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,3,54,Female,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,5,37,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,No,5,36,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,3,65,Male,Head of Household,Widowed,No formal education,Other Income
Rwanda,2016,No,Rural,Yes,4,31,Male,Head of Household,Married/Living together,Primary education,Self employed
Rwanda,2016,No,Urban,Yes,5,16,Male,Other non-relatives,Single/Never Married,No formal education,Informally employed
Rwanda,2016,No,Urban,No,4,71,Female,Child,Widowed,No formal education,Other Income
Rwanda,2016,No,Rural,Yes,2,28,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Rwanda,2016,No,Rural,No,1,75,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,2,27,Male,Head of Household,Married/Living together,Primary education,Self employed
Rwanda,2016,No,Urban,No,6,53,Male,Head of Household,Married/Living together,No formal education,Informally employed
Rwanda,2016,No,Rural,Yes,3,30,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,6,32,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Urban,Yes,5,42,Male,Head of Household,Married/Living together,Tertiary education,Informally employed
Rwanda,2016,No,Rural,Yes,7,37,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,2,34,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,8,39,Female,Spouse,Married/Living together,No formal education,Informally employed
Rwanda,2016,No,Rural,Yes,6,38,Female,Spouse,Married/Living together,Secondary education,Informally employed
Rwanda,2016,No,Rural,Yes,3,88,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,7,44,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,No,6,50,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,7,22,Female,Child,Single/Never Married,No formal education,Remittance Dependent
Rwanda,2016,No,Urban,Yes,6,35,Female,Head of Household,Divorced/Seperated,Secondary education,Self employed
Rwanda,2016,Yes,Urban,Yes,4,35,Female,Spouse,Married/Living together,Tertiary education,Remittance Dependent
Rwanda,2016,No,Rural,Yes,4,26,Male,Head of Household,Married/Living together,No formal education,Informally employed
Rwanda,2016,No,Rural,Yes,7,36,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,7,35,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,4,36,Female,Other non-relatives,Single/Never Married,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,6,35,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,2,26,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,No,1,25,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,2,18,Female,Child,Single/Never Married,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,5,19,Male,Child,Single/Never Married,Secondary education,Farming and Fishing
Rwanda,2016,Yes,Rural,Yes,5,65,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,3,49,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,2,38,Female,Spouse,Married/Living together,Secondary education,Informally employed
Rwanda,2016,No,Rural,Yes,6,37,Female,Head of Household,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,8,35,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,No,6,52,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,3,30,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Urban,Yes,5,36,Female,Head of Household,Widowed,Primary education,Dont Know/Refuse to answer
Rwanda,2016,No,Rural,Yes,4,18,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Rwanda,2016,No,Rural,Yes,4,24,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,Yes,Urban,Yes,1,25,Male,Head of Household,Single/Never Married,Secondary education,Informally employed
Rwanda,2016,No,Rural,No,4,24,Female,Spouse,Married/Living together,No formal education,Informally employed
Rwanda,2016,No,Rural,Yes,6,67,Female,Head of Household,Widowed,Primary education,Government Dependent
Rwanda,2016,No,Rural,Yes,4,26,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,4,37,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Urban,Yes,1,73,Female,Head of Household,Widowed,No formal education,Remittance Dependent
Rwanda,2016,No,Rural,Yes,3,59,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,4,19,Female,Child,Single/Never Married,Primary education,Farming and Fishing
Rwanda,2016,Yes,Rural,Yes,4,27,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,5,29,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,Yes,Rural,Yes,1,37,Male,Head of Household,Single/Never Married,Secondary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,3,32,Male,Head of Household,Married/Living together,Primary education,Formally employed Private
Rwanda,2016,No,Rural,Yes,6,51,Female,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,4,46,Female,Head of Household,Widowed,Primary education,Other Income
Rwanda,2016,No,Rural,Yes,7,37,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Urban,Yes,3,28,Female,Spouse,Married/Living together,Primary education,Self employed
Rwanda,2016,No,Rural,No,10,24,Male,Parent,Single/Never Married,Secondary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,2,57,Female,Head of Household,Widowed,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,5,18,Male,Other non-relatives,Single/Never Married,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,3,25,Male,Child,Single/Never Married,Secondary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,2,52,Female,Head of Household,Divorced/Seperated,No formal education,Informally employed
Rwanda,2016,No,Rural,No,6,58,Male,Head of Household,Married/Living together,No formal education,Informally employed
Rwanda,2016,No,Rural,Yes,3,30,Female,Child,Single/Never Married,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,3,66,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,6,35,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,No,3,66,Female,Head of Household,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,7,49,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,6,45,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,6,40,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,6,33,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,7,56,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,No,Urban,Yes,5,34,Female,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,4,75,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,5,21,Male,Child,Single/Never Married,Primary education,Informally employed
Rwanda,2016,No,Urban,Yes,8,23,Male,Parent,Single/Never Married,Secondary education,Informally employed
Rwanda,2016,No,Rural,Yes,3,27,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,3,31,Female,Head of Household,Single/Never Married,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,2,78,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,Yes,Rural,Yes,6,37,Female,Spouse,Married/Living together,Tertiary education,Formally employed Government
Rwanda,2016,Yes,Rural,Yes,1,51,Male,Head of Household,Single/Never Married,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,No,1,73,Female,Head of Household,Widowed,No formal education,Government Dependent
Rwanda,2016,No,Rural,No,3,50,Female,Head of Household,Married/Living together,No formal education,Remittance Dependent
Rwanda,2016,No,Rural,Yes,7,43,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,3,70,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Urban,Yes,4,33,Male,Head of Household,Married/Living together,Primary education,Formally employed Private
Rwanda,2016,Yes,Urban,Yes,3,45,Female,Head of Household,Widowed,Secondary education,Self employed
Rwanda,2016,No,Rural,Yes,3,27,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,7,41,Female,Spouse,Married/Living together,Secondary education,Self employed
Rwanda,2016,No,Urban,Yes,4,25,Female,Child,Single/Never Married,Secondary education,Informally employed
Rwanda,2016,Yes,Rural,Yes,7,48,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,3,22,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,5,20,Female,Other relative,Single/Never Married,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,5,32,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,No,5,48,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,Yes,Urban,Yes,5,23,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,6,35,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,5,33,Male,Head of Household,Married/Living together,Primary education,Self employed
Rwanda,2016,No,Rural,Yes,4,54,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed
Rwanda,2016,Yes,Rural,Yes,2,16,Male,Child,Single/Never Married,Primary education,Farming and Fishing
Rwanda,2016,Yes,Rural,Yes,10,49,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,No,7,37,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,Yes,Rural,Yes,4,37,Female,Head of Household,Divorced/Seperated,No formal education,Informally employed
Rwanda,2016,No,Rural,Yes,5,29,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,3,80,Female,Head of Household,Widowed,Primary education,Remittance Dependent
Rwanda,2016,Yes,Rural,Yes,5,40,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Rwanda,2016,No,Rural,No,3,53,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,3,17,Female,Child,Single/Never Married,Secondary education,Informally employed
Rwanda,2016,Yes,Rural,Yes,5,62,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,No,6,42,Male,Head of Household,Married/Living together,No formal education,Informally employed
Rwanda,2016,No,Rural,Yes,4,26,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,4,45,Female,Head of Household,Widowed,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,2,55,Female,Head of Household,Widowed,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,5,33,Male,Spouse,Married/Living together,Secondary education,Dont Know/Refuse to answer
Rwanda,2016,No,Rural,No,1,65,Female,Head of Household,Divorced/Seperated,No formal education,Informally employed
Rwanda,2016,No,Urban,Yes,5,35,Female,Head of Household,Divorced/Seperated,Primary education,Self employed
Rwanda,2016,No,Rural,No,2,70,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,No,3,30,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,No,4,30,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,3,20,Male,Child,Single/Never Married,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,5,29,Female,Spouse,Married/Living together,Primary education,Self employed
Rwanda,2016,No,Rural,Yes,3,30,Female,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,5,27,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Rwanda,2016,Yes,Urban,Yes,6,48,Female,Spouse,Married/Living together,Tertiary education,Remittance Dependent
Rwanda,2016,No,Urban,Yes,6,17,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
Rwanda,2016,Yes,Urban,Yes,7,43,Female,Head of Household,Divorced/Seperated,Primary education,Other Income
Rwanda,2016,No,Rural,Yes,8,32,Female,Child,Single/Never Married,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,6,56,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,3,78,Female,Head of Household,Married/Living together,Primary education,Government Dependent
Rwanda,2016,No,Rural,Yes,4,75,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
Rwanda,2016,No,Rural,Yes,5,31,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,Yes,Urban,Yes,2,29,Female,Head of Household,Single/Never Married,Tertiary education,Remittance Dependent
Rwanda,2016,No,Rural,No,3,30,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,5,33,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,9,25,Male,Child,Single/Never Married,Primary education,Farming and Fishing
Rwanda,2016,Yes,Rural,Yes,2,73,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,3,25,Male,Head of Household,Married/Living together,Secondary education,Self employed
Rwanda,2016,No,Rural,Yes,8,35,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,No,Urban,Yes,5,30,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,6,46,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,No,5,86,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,3,71,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,5,33,Female,Spouse,Married/Living together,Primary education,Self employed
Rwanda,2016,Yes,Rural,No,3,95,Female,Head of Household,Widowed,No formal education,Government Dependent
Rwanda,2016,Yes,Rural,Yes,1,26,Male,Head of Household,Single/Never Married,Secondary education,Other Income
Rwanda,2016,No,Rural,Yes,4,33,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,4,30,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,4,31,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,4,32,Male,Head of Household,Married/Living together,No formal education,Informally employed
Rwanda,2016,No,Rural,Yes,2,30,Female,Head of Household,Single/Never Married,Primary education,Informally employed
Rwanda,2016,Yes,Rural,Yes,1,34,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Other Income
Rwanda,2016,No,Rural,No,6,32,Female,Child,Divorced/Seperated,Primary education,Informally employed
Rwanda,2016,Yes,Rural,Yes,4,31,Female,Spouse,Married/Living together,Secondary education,Formally employed Government
Rwanda,2016,No,Rural,Yes,1,50,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,6,32,Female,Spouse,Married/Living together,Primary education,Self employed
Rwanda,2016,No,Urban,Yes,2,30,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,3,30,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,2,27,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,No,3,37,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,7,37,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Rwanda,2016,No,Urban,Yes,5,32,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,No,3,74,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,6,18,Female,Child,Single/Never Married,Secondary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,6,41,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,5,34,Female,Parent,Single/Never Married,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,5,18,Female,Child,Single/Never Married,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,5,55,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,No,9,60,Female,Spouse,Married/Living together,No formal education,Informally employed
Rwanda,2016,No,Rural,Yes,6,56,Male,Head of Household,Married/Living together,No formal education,Informally employed
Rwanda,2016,No,Rural,Yes,7,34,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,3,65,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,No,6,48,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,4,43,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,6,28,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,7,39,Female,Spouse,Married/Living together,Secondary education,Formally employed Government
Rwanda,2016,No,Rural,Yes,4,35,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,Yes,Rural,Yes,5,33,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,No,1,55,Female,Head of Household,Widowed,No formal education,Government Dependent
Rwanda,2016,No,Rural,Yes,4,28,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,4,49,Female,Head of Household,Widowed,Vocational/Specialised training,Farming and Fishing
Rwanda,2016,No,Rural,Yes,4,27,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,Yes,Urban,Yes,8,57,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
Rwanda,2016,Yes,Rural,Yes,5,31,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Urban,Yes,4,38,Female,Spouse,Married/Living together,Vocational/Specialised training,Remittance Dependent
Rwanda,2016,No,Rural,Yes,4,21,Male,Child,Single/Never Married,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,6,58,Male,Head of Household,Married/Living together,No formal education,Self employed
Rwanda,2016,Yes,Urban,Yes,4,22,Female,Spouse,Married/Living together,No formal education,Informally employed
Rwanda,2016,No,Rural,No,3,48,Female,Head of Household,Widowed,Primary education,Government Dependent
Rwanda,2016,No,Rural,Yes,4,62,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,3,26,Female,Spouse,Married/Living together,Primary education,Self employed
Rwanda,2016,No,Rural,Yes,4,28,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,5,31,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,6,20,Male,Child,Single/Never Married,Vocational/Specialised training,Informally employed
Rwanda,2016,No,Urban,Yes,4,34,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,6,45,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,Yes,Urban,Yes,2,40,Male,Head of Household,Single/Never Married,Secondary education,Informally employed
Rwanda,2016,No,Rural,No,5,44,Female,Head of Household,Widowed,No formal education,Informally employed
Rwanda,2016,No,Rural,Yes,4,27,Female,Head of Household,Single/Never Married,Primary education,Informally employed
